ID,PO No,Supplier ID,PO Date,ITEM NO,Quantity,INVENTORY ID,PO DateReceived,PO DateRequired,PO DateRevised,QtyReceived,ShipBy,SpecialRequest,POLineClosed,Scanned,Tag,ShipLocalle,UnitCost
169715,35390,Ltcp137,14-Oct-25,7,1,MATT BLACK,22-Oct-25,15-Oct-25,,1,,,-1,,,Patio Door Plant,0
169790,35403,Ltcp137,10/27/2025,1,1,CS1164,10/29/2025,10/28/2025,,1,,,-1,,,Main Plant,0
169791,35403,Ltcp137,10/27/2025,2,1,CS0142,10/29/2025,10/28/2025,,1,,,-1,,,Main Plant,0
169792,35403,Ltcp137,10/27/2025,3,1,Gentek 5X2,10/29/2025,10/28/2025,,1,,,-1,,,Main Plant,0
169793,35403,Ltcp137,10/27/2025,4,1,Gentek 502,10/29/2025,10/28/2025,,1,,,-1,,,Main Plant,0
170068,35459,Ltcp137,17-Oct-25,1,1,CS0437,21-Oct-25,20-Oct-25,,1,,,-1,,,Main Plant,0
170069,35459,Ltcp137,17-Oct-25,2,2,528110,21-Oct-25,20-Oct-25,,2,,,-1,,,Main Plant,0
170070,35459,Ltcp137,17-Oct-25,3,30,528802,21-Oct-25,20-Oct-25,,30,,,-1,,,Main Plant,0
170071,35459,Ltcp137,17-Oct-25,4,1,528214,21-Oct-25,20-Oct-25,,1,,,-1,,,Main Plant,0
170072,35459,Ltcp137,17-Oct-25,5,1,70024,21-Oct-25,20-Oct-25,,1,,,-1,,,Main Plant,0
170073,35459,Ltcp137,17-Oct-25,6,1,Gentek 554,21-Oct-25,20-Oct-25,,1,,,-1,,,Main Plant,0
170074,35459,Ltcp137,17-Oct-25,7,3,528925,21-Oct-25,20-Oct-25,,3,,,-1,,,Main Plant,0
170075,35459,Ltcp137,17-Oct-25,8,1,70132,21-Oct-25,20-Oct-25,,1,,,-1,,,Main Plant,0
170076,35459,Ltcp137,17-Oct-25,9,1,528215,21-Oct-25,20-Oct-25,,1,,,-1,,,Main Plant,0
170077,35459,Ltcp137,17-Oct-25,10,1,528304,21-Oct-25,20-Oct-25,,1,,,-1,,,Main Plant,0
170078,35459,Ltcp137,17-Oct-25,11,1,400426,21-Oct-25,20-Oct-25,,1,,,-1,,,Main Plant,0
170079,35459,Ltcp137,17-Oct-25,12,2,528634,21-Oct-25,20-Oct-25,,2,,,-1,,,Main Plant,0
170080,35459,Ltcp137,17-Oct-25,13,1,528616,21-Oct-25,20-Oct-25,,1,,,-1,,,Main Plant,0
170081,35459,Ltcp137,17-Oct-25,14,2,528613,21-Oct-25,20-Oct-25,,2,,,-1,,,Main Plant,0
170082,35459,Ltcp137,17-Oct-25,15,3,528021,21-Oct-25,20-Oct-25,,3,,,-1,,,Main Plant,0
170083,35459,Ltcp137,17-Oct-25,16,1,585022,21-Oct-25,20-Oct-25,,1,,,-1,,,Main Plant,0
170084,35459,Ltcp137,17-Oct-25,17,3,400050,21-Oct-25,20-Oct-25,,3,,,-1,,,Main Plant,0
170085,35459,Ltcp137,17-Oct-25,18,1,Gentek 265,21-Oct-25,20-Oct-25,,1,,,-1,,,Main Plant,0
170086,35459,Ltcp137,17-Oct-25,19,1,Gentek 580,21-Oct-25,20-Oct-25,,1,,,-1,,,Main Plant,0
170087,35459,Ltcp137,17-Oct-25,20,1,Gentek 5H4,21-Oct-25,20-Oct-25,,1,,,-1,,,Main Plant,0
170247,35502,Ltcp137,10/20/2025,1,1,CS1116,10/24/2025,10/21/2025,,1,,,-1,,,Main Plant,0
170248,35502,Ltcp137,10/20/2025,2,1,Gentek 554,10/24/2025,10/21/2025,,1,,,-1,,,Main Plant,0
170249,35502,Ltcp137,10/20/2025,3,3,528925,10/24/2025,10/21/2025,,3,,,-1,,,Main Plant,0
170250,35502,Ltcp137,10/20/2025,4,1,528210,10/24/2025,10/21/2025,,1,,,-1,,,Main Plant,0
170251,35502,Ltcp137,10/20/2025,5,2,528221,10/24/2025,10/21/2025,,2,,,-1,,,Main Plant,0
170252,35502,Ltcp137,10/20/2025,6,2,528111,10/24/2025,10/21/2025,,2,,,-1,,,Main Plant,0
170253,35502,Ltcp137,10/20/2025,7,1,528616,10/24/2025,10/21/2025,,1,,,-1,,,Main Plant,0
170254,35502,Ltcp137,10/20/2025,8,1,585022,10/24/2025,10/21/2025,,1,,,-1,,,Main Plant,0
170255,35502,Ltcp137,10/20/2025,9,1,400050,10/24/2025,10/21/2025,,1,,,-1,,,Main Plant,0
170256,35502,Ltcp137,10/20/2025,10,1,Gentek 265,10/24/2025,10/21/2025,,1,,,-1,,,Main Plant,0
170257,35502,Ltcp137,10/20/2025,11,1,NC0024L3.2-CLEARCOAT  30 %,10/24/2025,10/21/2025,,1,,,-1,,,Main Plant,0
170438,35524,Ltcp137,10/22/2025,1,10,528802,10/24/2025,10/23/2025,,10,,,-1,,,Patio Door Plant,0
170439,35524,Ltcp137,10/22/2025,2,1,528634,10/24/2025,10/23/2025,,1,,,-1,,,Patio Door Plant,0
170440,35524,Ltcp137,10/22/2025,3,1,528613,10/24/2025,10/23/2025,,1,,,-1,,,Patio Door Plant,0
170441,35524,Ltcp137,10/22/2025,4,1,528021,10/24/2025,10/23/2025,,1,,,-1,,,Patio Door Plant,0
170442,35524,Ltcp137,10/22/2025,5,1,400050,10/24/2025,10/23/2025,,1,,,-1,,,Patio Door Plant,0
170443,35524,Ltcp137,10/22/2025,6,1,MATT BLACK,10/24/2025,10/23/2025,,1,,,-1,,,Patio Door Plant,0
170444,35524,Ltcp137,10/22/2025,7,1,Gentek 5P8,10/24/2025,10/23/2025,,1,,,-1,,,Patio Door Plant,0
170445,35524,Ltcp137,10/22/2025,8,1,Gentek 5H2,10/24/2025,10/23/2025,,1,,,-1,,,Patio Door Plant,0
